Website/Service,URL,Description
HM Revenue & Customs (HMRC),https://www.gov.uk/government/organisations/hm-revenue-customs,"Central tax authority: VAT, PAYE, income/corporation/inheritance tax"
Self Assessment (HMRC),https://www.gov.uk/self-assessment-tax-returns,Submit annual personal or business tax returns
Check your Income Tax,https://www.gov.uk/check-income-tax-current-year,"Check PAYE income, tax codes, and tax paid"
The Pension Service (DWP),https://www.gov.uk/contact-pension-service,State Pension and pension credit enquiries
Check your State Pension,https://www.gov.uk/check-state-pension,Forecast State Pension and NI contributions
NS&I (National Savings and Investments),https://www.nsandi.com,Government-backed savings including Premium Bonds
Help to Save Scheme (HMRC),https://www.gov.uk/get-help-savings-low-income,Incentivised savings for low-income workers
Lifetime ISA,https://www.gov.uk/lifetime-isa,Government bonuses for home buying or retirement savings
MoneyHelper,https://www.moneyhelper.org.uk,"Guidance on pensions, debt, budgeting, and investing"
FSCS,https://www.fscs.org.uk,Protects savings if financial firms fail
Companies House,https://www.gov.uk/government/organisations/companies-house,Business registration and filing services
Business Finance Support (BEIS),https://www.gov.uk/business-finance-support,Loans and grants for UK businesses
The Insolvency Service,https://www.gov.uk/government/organisations/insolvency-service,Guidance on bankruptcy and company closure
HM Land Registry,https://www.gov.uk/government/organisations/land-registry,Land/property ownership records and transactions
Inheritance Tax,https://www.gov.uk/inheritance-tax,Rules and tools for estate taxation
